country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","29-08-2025 13:00:00",26.253384,72.976571,NO2,1,12,4
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","29-08-2025 13:00:00",26.253384,72.976571,CO,12,34,13
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","29-08-2025 13:00:00",24.5886166,73.6321397,SO2,5,10,7
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","29-08-2025 13:00:00",24.5886166,73.6321397,OZONE,2,17,10
India,Sikkim,Gangtok,"Zero Point GICI, Gangtok - SSPCB","29-08-2025 13:00:00",27.338530,88.614099,NH3,1,1,1
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","29-08-2025 13:00:00",13.0664,"80.2112 ",PM2.5,25,62,39
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","29-08-2025 13:00:00",13.0664,"80.2112 ",PM10,84,157,113
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","29-08-2025 13:00:00",13.1662,80.2584,NO2,3,6,5
India,TamilNadu,Chennai,"Manali Village, Chennai - TNPCB","29-08-2025 13:00:00",13.1662,80.2584,CO,22,40,30
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","29-08-2025 13:00:00",12.9533,80.2357,NO2,2,5,3
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","29-08-2025 13:00:00",24.041198,74.780702,PM2.5,10,72,33
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh - RSPCB","29-08-2025 13:00:00",24.041198,74.780702,OZONE,16,57,29
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","29-08-2025 13:00:00",13.1036,80.2909,PM10,41,134,60
India,TamilNadu,Chennai,"Royapuram, Chennai - TNPCB","29-08-2025 13:00:00",13.1036,80.2909,SO2,1,3,2
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","29-08-2025 13:00:00",13.0052189,80.2398125,PM10,41,69,58
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","29-08-2025 13:00:00",13.0052189,80.2398125,NH3,4,5,5
India,TamilNadu,Chennai,"Velachery Res. Area, Chennai - CPCB","29-08-2025 13:00:00",13.0052189,80.2398125,CO,54,63,60
India,TamilNadu,Coimbatore,"PSG College of Arts and Science, Coimbatore - TNPCB","29-08-2025 13:00:00",11.0328,77.0349,PM10,16,62,32
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","29-08-2025 13:00:00",10.942451,76.978996,PM2.5,NA,NA,NA
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","29-08-2025 13:00:00",10.942451,76.978996,NO2,7,9,8
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB","29-08-2025 13:00:00",10.942451,76.978996,SO2,22,23,23
India,TamilNadu,Pudukottai,"SIPCOT Nathampannai, Pudukottai - TNPCB","29-08-2025 13:00:00",10.423417,78.784889,PM2.5,27,44,35
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB","29-08-2025 13:00:00",9.36399,78.831977,PM10,8,110,27
India,TamilNadu,Ramanathapuram,"Chalai Bazaar, Ramanathapuram - TNPCB","29-08-2025 13:00:00",9.36399,78.831977,OZONE,3,8,4
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","29-08-2025 13:00:00",12.952707,79.30394,NH3,8,8,8
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","29-08-2025 13:00:00",12.952707,79.30394,CO,18,20,19
India,TamilNadu,Salem,"Sona College of Technology, Salem - TNPCB","29-08-2025 13:00:00",11.679111,78.125052,PM2.5,NA,NA,NA
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB","29-08-2025 13:00:00",10.7654824,79.1389968,PM10,4,44,22
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","29-08-2025 13:00:00",17.37206,78.50864,PM10,NA,NA,NA
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","29-08-2025 13:00:00",17.37206,78.50864,CO,8,12,10
India,Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB","29-08-2025 13:00:00",17.37206,78.50864,OZONE,20,21,20
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","29-08-2025 13:00:00",17.528544,78.286195,PM10,56,74,63
India,Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB","29-08-2025 13:00:00",17.528544,78.286195,NH3,5,6,6
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","29-08-2025 13:00:00",17.4559458,78.4332152,NO2,24,31,28
India,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB","29-08-2025 13:00:00",17.4559458,78.4332152,OZONE,11,17,14
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","29-08-2025 13:00:00",17.417094,78.457437,PM2.5,NA,NA,NA
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","29-08-2025 13:00:00",17.417094,78.457437,SO2,NA,NA,NA
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","29-08-2025 13:00:00",17.417094,78.457437,OZONE,NA,NA,NA
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","29-08-2025 13:00:00",17.518400,78.278777,CO,4,18,8
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","29-08-2025 13:00:00",17.518400,78.278777,OZONE,2,25,14
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","29-08-2025 13:00:00",17.5316895,78.218939,NO2,17,52,25
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad - TSPCB","29-08-2025 13:00:00",17.585705,78.126199,CO,NA,NA,NA
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB","29-08-2025 13:00:00",17.544899,78.486949,NO2,13,18,17
